STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-01-01,,,4.69,",,,X",25.9,",X",32.8,",,,X",19.1,",,,X"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-02-01,,,2.84,",,,X",31.8,",X",40.2,",,,X",23.3,",,,X"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-03-01,,,3.76,",,,X",43.8,",X",54.5,",,,X",33.2,",,,X"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-04-01,,,3.93,",,,X",52.0,",X",62.2,",,,X",41.7,",,,X"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-05-01,,,7.41,",,,0",61.9,",0",71.3,",,,0",52.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-06-01,,,4.94,",,,0",71.1,",0",81.2,",,,0",61.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-07-01,,,1.9,",,,0",76.4,",0",85.9,",,,0",66.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-08-01,,,5.96,",,,0",74.6,",0",83.9,",,,0",65.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-09-01,,,2.09,",,,0",67.7,",0",78.4,",,,0",57.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-10-01,,,1.53,",,,0",55.2,",0",64.0,",,,0",46.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-11-01,,,4.79,",,,0",50.9,",0",59.4,",,,0",42.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1948-12-01,,,5.26,",,,0",37.4,",0",45.1,",,,0",29.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-01-01,,,6.06,",,,0",39.8,",0",47.3,",,,0",32.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-02-01,,,3.56,",,,0",39.3,",0",47.9,",,,0",30.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-03-01,,,2.78,",,,0",43.9,",0",53.4,",,,0",34.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-04-01,,,2.36,",,,0",53.4,",0",63.5,",,,0",43.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-05-01,,,5.91,",,,0",,",0",75.0,",,,0",53.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-06-01,,,0.11,",,,0",74.6,",0",85.2,",,,0",64.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-07-01,,,4.25,",,,0",80.2,",0",89.7,",,,0",70.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-08-01,,,4.53,",,,0",76.2,",0",85.9,",,,0",66.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-09-01,,,4.1,",,,0",65.6,",0",75.2,",,,0",56.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-10-01,,,2.74,",,,0",61.8,",0",70.2,",,,0",53.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-11-01,,,1.09,",,,0",45.8,",0",54.8,",,,0",36.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1949-12-01,,,3.04,",,,0",39.0,",0",47.1,",,,0",30.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-01-01,,,1.85,",,,0",43.3,",0",52.3,",,,0",34.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-02-01,,,3.41,",,,0",33.7,",0",40.4,",,,0",27.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-03-01,,,4.69,",,,0",38.6,",0",47.7,",,,0",29.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-04-01,,,2.11,",,,0",49.2,",0",59.1,",,,0",39.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-05-01,,,3.89,",,,0",61.0,",0",70.2,",,,0",51.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-06-01,,,2.37,",,,0",70.7,",0",81.1,",,,0",60.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-07-01,,,5.8,",,,0",75.4,",0",84.8,",,,0",66.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-08-01,,,4.29,",,,0",73.7,",0",83.0,",,,0",64.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-09-01,,,2.6,",,,0",64.5,",0",71.9,",,,0",57.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-10-01,,,2.16,",,,0",59.5,",0",69.1,",,,0",49.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-11-01,,,5.22,",,,0",47.2,",0",56.5,",,,0",38.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1950-12-01,,,2.12,",,,0",34.2,",0",41.0,",,,0",27.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1951-01-01,,,3.83,",,,0",35.9,",0",44.1,",,,0",27.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1951-02-01,,,3.24,",,,0",36.4,",0",44.9,",,,0",27.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1951-03-01,,,4.52,",,,0",43.0,",0",51.3,",,,0",34.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1951-04-01,,,2.49,",,,0",53.6,",0",64.0,",,,0",43.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1951-05-01,,,4.0,",,,0",63.6,",0",74.5,",,,0",52.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1951-06-01,,,4.18,",,,0",-26.799999999999997,",0",80.5,",,,0",62.0,",,,0"
