Tm,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,TB,GDP,HBP,SH,SF,LOB,WINS
ARI,812,1405,314,39,220,776,103,30,578,1456,0.254,0.329,0.445,2457,106,54,39,27,1118,93
ATL,732,1467,289,26,165,706,77,31,474,1184,0.263,0.326,0.412,2303,137,66,59,32,1127,72
BAL,743,1469,269,12,232,713,32,13,392,1412,0.26,0.312,0.435,2458,138,50,10,37,1041,75
BOS,785,1461,302,19,168,735,106,31,571,1224,0.258,0.329,0.407,2305,141,53,9,36,1134,93
CHC,822,1402,274,29,223,785,62,31,622,1401,0.255,0.338,0.437,2403,134,82,48,32,1147,92
CHW,706,1412,256,37,186,670,71,31,401,1397,0.256,0.314,0.417,2300,124,76,35,33,1055,67
CIN,753,1390,249,38,219,715,120,39,565,1329,0.253,0.329,0.433,2372,116,72,50,42,1135,68
CLE,818,1449,333,29,212,780,88,23,604,1153,0.263,0.339,0.449,2476,125,50,23,45,1158,102
COL,824,1510,293,38,192,793,59,34,519,1408,0.273,0.338,0.444,2455,143,44,62,41,1088,87
DET,735,1435,289,35,187,699,65,34,503,1313,0.258,0.324,0.424,2355,128,52,11,27,1104,64
HOU,896,1581,346,20,238,854,98,42,509,1087,0.282,0.346,0.478,2681,139,70,11,61,1094,101
KCR,702,1436,260,24,193,660,91,31,390,1166,0.259,0.311,0.42,2323,160,45,17,37,1005,80
LAA,710,1314,251,14,186,678,136,44,523,1198,0.243,0.315,0.397,2151,141,70,17,46,1033,80
LAD,770,1347,312,20,221,730,77,28,649,1380,0.249,0.334,0.437,2362,119,64,31,38,1146,104
MIA,778,1497,271,31,194,743,91,30,486,1282,0.267,0.331,0.431,2412,119,67,50,41,1130,77
MIL,732,1363,267,22,224,695,128,41,547,1571,0.249,0.322,0.429,2346,116,53,42,26,1088,86
MIN,815,1444,286,31,206,781,95,28,593,1342,0.26,0.334,0.434,2410,105,46,26,39,1147,85
NYM,735,1379,286,28,224,713,58,23,529,1291,0.25,0.32,0.434,2393,118,57,36,37,1099,70
NYY,858,1463,266,23,241,821,90,22,616,1386,0.262,0.339,0.447,2498,119,64,18,56,1184,91
OAK,739,1344,305,15,234,708,57,22,565,1491,0.246,0.319,0.436,2381,129,43,13,40,1075,75
PHI,690,1382,287,36,174,654,59,25,494,1417,0.25,0.315,0.409,2263,128,47,21,36,1079,66
PIT,668,1331,249,36,151,635,67,36,519,1213,0.244,0.318,0.386,2105,120,88,42,28,1129,75
SDP,604,1251,227,31,189,576,89,33,460,1499,0.234,0.299,0.393,2107,99,53,52,33,1037,71
SEA,750,1436,281,17,200,714,89,35,487,1267,0.259,0.325,0.424,2351,131,78,14,35,1084,78
SFG,639,1382,290,28,128,612,76,34,467,1204,0.249,0.309,0.38,2112,136,36,31,52,1093,64
STL,761,1402,284,28,196,728,81,31,593,1348,0.256,0.334,0.426,2330,139,65,47,44,1118,83
TBR,694,1340,226,32,228,671,88,34,545,1538,0.245,0.317,0.422,2314,115,55,16,48,1114,80
TEX,799,1326,255,21,237,756,113,44,544,1493,0.244,0.32,0.43,2334,110,81,27,39,1015,78
TOR,693,1320,269,5,222,661,53,24,542,1327,0.24,0.312,0.412,2265,153,51,25,35,1064,76
WSN,819,1477,311,31,215,796,108,30,542,1327,0.266,0.332,0.449,2495,116,31,43,45,1101,97
